HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:38:51;994.19;993.24;10887;872;0;7000;15009;14.712;22.528;18.55;55.711;
2023-07-13;17:38:52;994.35;993.53;10887;872;0;7000;15070;14.776;22.539;18.55;55.773;
2023-07-13;17:38:53;994.19;993.46;10887;872;0;7000;14950;14.658;22.555;18.55;55.834;
2023-07-13;17:38:54;993.94;993.4;10887;872;0;7000;15030;14.735;22.546;18.55;55.834;
2023-07-13;17:38:55;994.05;993.5;10887;872;0;7000;14849;14.559;22.552;18.55;55.895;
2023-07-13;17:38:56;994.35;993.68;10887;872;0;7000;15099;14.807;22.563;18.55;55.926;
2023-07-13;17:38:57;994.64;993.73;10887;872;0;7000;14870;14.583;22.575;18.55;55.957;
2023-07-13;17:38:58;994.42;993.64;10887;872;0;7000;14880;14.592;22.576;18.57;56.021;
2023-07-13;17:38:59;994.24;993.73;10887;872;0;7000;15030;14.74;22.597;18.559;56.05;
2023-07-13;17:39:00;994.42;993.83;10887;872;0;7000;14809;14.525;22.598;18.559;56.05;
2023-07-13;17:39:01;994.81;993.83;10887;872;0;7000;14759;14.476;22.614;18.55;56.14;
2023-07-13;17:39:02;994.96;993.99;10887;872;0;7000;15120;14.832;22.589;18.559;56.142;
2023-07-13;17:39:03;994.48;994.1;10887;872;0;7000;15099;14.813;22.619;18.57;56.205;
2023-07-13;17:39:04;994.37;994.06;10887;872;0;7000;15070;14.784;22.62;18.57;56.266;
2023-07-13;17:39:05;994.74;993.9;10887;872;0;7000;14920;14.635;22.631;18.57;56.296;
2023-07-13;17:39:06;994.74;993.86;10887;872;0;7000;15070;14.781;22.639;18.57;56.296;
2023-07-13;17:39:07;994.51;993.83;10887;872;0;7000;14900;14.614;22.645;18.559;56.325;
2023-07-13;17:39:08;994.38;993.73;10887;872;0;7000;15089;14.798;22.666;18.57;56.358;
2023-07-13;17:39:09;994.38;993.78;10887;872;0;7000;14849;14.563;22.675;18.57;56.388;
2023-07-13;17:39:10;994.42;993.64;10887;872;0;7000;14929;14.64;22.655;18.57;56.449;
2023-07-13;17:39:11;994.67;993.82;10887;872;0;7000;15150;14.859;22.713;18.57;56.449;
2023-07-13;17:39:12;994.83;994.02;10887;872;0;7000;15080;14.793;22.694;18.57;56.449;
2023-07-13;17:39:13;994.49;994.1;10887;872;0;7000;14990;14.706;22.698;18.559;56.509;
2023-07-13;17:39:14;994.55;994.19;10887;872;0;7000;15070;14.786;22.676;18.579;56.573;
2023-07-13;17:39:15;995.26;994.41;10887;872;0;7000;14929;14.651;22.71;18.57;56.602;
2023-07-13;17:39:16;995.32;994.41;10887;872;0;7000;14960;14.681;22.714;18.579;56.634;
2023-07-13;17:39:17;995.18;994.52;10887;872;0;7000;14809;14.535;22.719;18.579;56.634;
2023-07-13;17:39:18;995.12;994.54;10887;872;0;7000;14960;14.683;22.729;18.579;56.695;
2023-07-13;17:39:19;995.07;994.43;10887;872;0;7000;14920;14.642;22.734;18.579;56.757;
2023-07-13;17:39:20;995.26;994.53;10887;872;0;7000;15070;14.791;22.761;18.579;56.757;
2023-07-13;17:39:21;995.34;994.35;10887;872;0;7000;15070;14.788;22.749;18.579;56.818;
2023-07-13;17:39:22;995.27;994.32;10887;872;0;7000;15070;14.788;22.765;18.579;56.848;
2023-07-13;17:39:23;995.18;994.3;10887;872;0;7000;15219;14.934;22.787;18.579;56.848;
2023-07-13;17:39:24;994.81;994.45;10887;872;0;7000;15219;14.936;22.766;18.579;56.879;
2023-07-13;17:39:25;994.89;994.53;10887;872;0;7000;15219;14.937;22.794;18.589;56.911;
2023-07-13;17:39:26;995.32;994.48;10887;872;0;7000;15219;14.937;22.803;18.599;56.973;
2023-07-13;17:39:27;995.33;994.39;10887;872;0;7000;15219;14.935;22.782;18.589;57.002;
2023-07-13;17:39:28;994.94;994.35;10887;872;0;7000;15219;14.935;22.844;18.589;57.064;
2023-07-13;17:39:29;994.85;994.38;10887;872;0;7000;15219;14.935;22.783;18.589;57.064;
2023-07-13;17:39:30;995.01;994.31;10887;872;0;7000;15219;14.934;22.809;18.599;57.065;
